Model,Mean_OFF,Mean_ON,Mean_Diff,T_Score,Cohens_d,OVL,Wasserstein
GPT-5.2,0.8257,0.8168,0.0089,3.5988,0.1609,0.9407,0.0089
GPT-5 Mini,0.8384,0.8317,0.0067,2.6794,0.1198,0.9506,0.007
Gemini 3 Pro,0.7695,0.7655,0.0041,1.4747,0.066,0.9643,0.0041
Gemini 3 Flash,0.8009,0.8073,-0.0065,-2.575,-0.1152,0.9234,0.0078
